player_id,player_name,date_of_birth,birth_place,role,batting_style,bowling_style
131,Harbhajan Singh,"Jul 03, 1980","Jullundur (Now Jalandhar), Punjab",Bowler,Right Handed Bat,Right-Arm Offbreak
132,Musavir Khote,"Apr 22, 1980",,Batting Allrounder,Right Handed Bat,
133,Abhishek Nayar,"Oct 08, 1983","Secunderabad, Hyderabad",Batting Allrounder,Left Handed Bat,Right-Arm Medium
134,Andre Nel,"Jul 15, 1977","Germiston, Transvaal",Bowler,Right Handed Bat,Right-Arm Fast-Medium
135,Rajesh Pawar,"Sep 06, 1979",,Batting Allrounder,Right Handed Bat,
136,Ashwell Prince,"May 28, 1977","Port Elizabeth, Cape Province",Batsman,Left Handed Bat,Right-Arm Offbreak
137,Rohan Raje,"Sep 03, 1986",,Batting Allrounder,Right Handed Bat,
138,Pinal Shah,"Nov 03, 1987",,WK-Batsman,Right Handed Bat,
139,Swapnil Singh,"Jan 22, 1991","Rae Bareilly, Uttar Pradesh",Bowling Allrounder,Right Handed Bat,Left-Arm Orthodox
140,Dominic Thornely,"Oct 01, 1978",,Batting Allrounder,Right Handed Bat,
141,Robin Uthappa,"Nov 11, 1985","Coorg, Karnataka",WK-Batsman,Right Handed Bat,Right-Arm Medium
142,Rahul Dravid,"Jan 11, 1973","Indore, Madhya Pradesh",Batsman,Right Handed Bat,Right-Arm Offbreak
143,Neravanda Aiyappa,"Oct 19, 1979",,Bowler,Right Handed Bat,Right-Arm Fast-Medium
144,KP Appanna,"Dec 20, 1988",,Bowler,Right Handed Bat,Left-Arm Orthodox
145,Mark Boucher,"Dec 03, 1976","East London, Cape Province",WK-Batsman,Right Handed Bat,Right-Arm Medium
146,Bharath Chipli,"Jan 27, 1983",,Batsman,Right Handed Bat,
147,Wasim Jaffer,"Feb 16, 1978","Bombay (Now Mumbai), Maharashtra",Batsman,Right Handed Bat,Right-Arm Offbreak
148,Jacques Kallis,"Oct 16, 1975","Pinelands, Cape Town, Cape Province",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
149,Virat Kohli,"Nov 05, 1988",Delhi,Batsman,Right Handed Bat,Right-Arm Medium
150,Anil Kumble,"Oct 17, 1970","Bangalore, Karnataka",Bowler,Right Handed Bat,Right-Arm Legbreak
151,Ashley Noffke,"Apr 30, 1977","Nambour, Queensland",Bowler,Right Handed Bat,Right-Arm Fast-Medium
152,Dale Steyn,"Jun 27, 1983",Phalaborwa,Bowler,Right Handed Bat,Right-Arm Fast
153,Vinay Kumar,"Apr 21, 1977",Delhi,Bowler,Right Handed Bat,
154,Abdur Razzak,"Jun 15, 1982",Khulna,Bowler,Left Handed Bat,Left-Arm Orthodox
155,Jagadeesh Arunkumar,"Jan 18, 1975",,Batting Allrounder,Right Handed Bat,
