"STUID,State,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %"
"11011002006,AP,1,2,4,4,2,3,2,2,1,2,2,0,1,No,2,1,2,2,1,2,2,2,L,4,4,3,3,4,4,3,3,2,1,3,3,3,3,3,3,2,3,3,3,1,3,3,1,3,3,3,3,2,2,4,4,4,4,4,24.07,23.33,,"
"11011002008,AP,1,2,3,3,1,4,2,3,0,4,1,0,2,No,1,2,2,2,1,2,2,2,M,4,4,2,3,4,4,2,3,2,2,3,3,3,3,3,2,3,3,3,3,1,3,3,1,3,1,3,3,1,3,4,4,3,4,4,,83.33,,66.67"
"11011002009,AP,1,2,3,3,1,4,2,2,0,3,3,0,1,No,1,2,2,2,1,2,2,2,L,4,4,2,3,4,4,2,3,1,1,3,3,3,3,3,2,2,3,3,3,1,3,3,1,3,1,3,3,1,3,4,4,4,4,4,,,29.09,44.0"
"11011002010,AP,1,1,2,2,2,5,2,2,1,3,3,0,1,No,1,1,0,2,2,2,4,2,S,4,4,2,3,4,4,3,2,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,1,3,3,1,3,2,4,4,3,4,42.59,,42.59,"
"11011002011,AP,1,1,2,3,1,5,2,1,1,3,3,0,1,No,1,1,2,2,1,2,2,2,L,4,4,2,3,4,4,2,3,2,1,1,3,3,3,2,1,2,2,3,3,1,3,3,1,1,2,3,2,3,3,3,3,3,4,4,22.22,,,"
"11011002012,AP,1,1,3,1,1,4,2,1,1,3,3,0,1,No,1,1,0,1,1,2,4,2,L,4,4,2,3,4,4,3,2,2,1,3,3,3,3,3,2,2,3,3,3,3,3,3,1,3,1,3,3,1,3,4,4,4,4,4,,40.0,,27.08"
"11011002013,AP,1,1,5,3,1,4,2,3,1,3,2,0,2,No,1,2,2,2,2,2,5,2,M,4,4,2,3,4,4,3,1,2,1,1,3,3,3,3,3,3,3,3,3,1,3,3,1,1,3,3,3,1,3,4,3,3,3,4,,23.33,,40.0"
"11011002014,AP,1,1,4,3,1,2,2,1,1,2,2,0,2,No,2,2,2,2,2,2,4,2,M,4,4,4,3,4,4,4,3,2,1,1,3,3,3,3,1,3,3,3,3,3,3,1,1,1,1,3,3,3,3,1,3,4,4,4,33.33,,,"
"11011002015,AP,1,1,4,4,2,5,2,1,1,3,1,0,2,No,2,2,2,4,2,2,4,2,L,4,4,2,3,4,4,2,3,2,1,3,3,3,3,3,3,3,3,3,3,1,3,3,1,1,3,3,3,1,3,4,4,3,4,4,29.63,,9.09,"
"11011002017,AP,1,1,3,1,1,4,2,5,3,5,2,0,1,No,1,1,2,2,1,2,2,2,M,4,4,2,3,4,4,2,3,2,1,1,3,1,3,3,1,3,2,3,3,2,1,2,2,1,2,3,3,1,2,4,4,3,4,4,,,,41.67"
"11011002018,AP,1,1,2,3,1,3,2,1,1,3,3,0,2,No,1,2,0,1,1,2,4,2,0,4,4,2,3,4,4,2,3,2,1,1,3,3,3,3,2,2,3,3,3,2,3,2,1,3,1,3,3,1,3,4,4,3,4,4,,,33.33,48.0"
"11011002020,AP,1,1,5,3,1,5,2,1,1,3,3,0,2,No,1,2,0,1,4,2,4,2,S,4,4,2,3,4,2,3,3,2,1,1,3,3,3,2,3,2,3,3,3,2,2,3,1,2,1,3,3,1,1,4,4,2,3,4,33.33,30.0,,"
"11011002021,AP,1,1,2,1,1,4,2,1,1,3,3,0,1,No,1,2,2,2,1,2,2,2,L,0,0,0,0,0,0,0,0,2,1,1,3,1,3,3,2,2,2,2,2,2,3,2,1,1,1,3,3,2,2,4,4,4,4,4,22.22,,,"
"11011003001,AP,1,2,4,3,1,3,2,0,1,2,0,2,1,No,1,1,2,2,2,1,1,2,O,2,4,2,2,3,1,1,1,1,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,,,,16.67"
"11011003002,AP,1,2,4,0,1,2,2,0,1,3,0,2,0,,0,0,2,2,1,5,0,2,L,3,4,2,1,0,0,0,0,2,1,3,3,2,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,24.07,20.0,,"
"11011003003,AP,1,2,2,1,1,5,2,1,0,2,0,0,0,,0,0,1,1,3,2,2,2,L,3,4,2,1,1,2,3,2,2,1,3,3,2,2,2,3,2,2,2,2,3,0,0,3,3,3,3,0,0,0,4,2,2,1,4,,,12.73,6.25"
"11011003005,AP,1,2,3,1,1,1,2,1,1,3,3,2,2,No,1,1,2,0,1,4,4,2,O,3,2,4,2,0,0,0,0,2,1,3,3,3,3,2,2,2,3,2,2,3,3,3,3,2,3,3,1,3,3,4,3,2,4,4,20.37,56.67,,"
"11011003006,AP,1,2,3,4,1,2,2,3,3,5,5,2,2,No,1,2,2,2,1,4,4,2,O,3,3,4,3,0,0,0,0,2,1,3,3,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,1,3,3,4,3,4,4,4,25.93,36.67,,"
"11011003007,AP,1,2,2,4,1,2,2,0,0,3,3,2,0,,0,0,2,2,2,4,2,2,O,0,0,0,0,0,0,0,0,2,1,3,3,3,3,3,2,2,3,2,3,3,0,3,3,3,3,3,0,0,3,4,1,4,4,4,,,32.73,35.42"
"11011003011,AP,1,2,2,4,1,3,2,2,1,3,2,2,1,No,1,1,2,2,2,2,2,2,O,4,4,3,2,4,2,2,2,2,1,1,3,1,3,3,1,3,3,3,3,1,3,3,3,3,2,3,3,1,1,3,3,1,4,4,,,25.93,20.0"
"11011003012,AP,1,2,2,4,1,2,2,2,1,3,2,2,1,No,1,1,2,2,2,2,2,2,O,4,4,3,2,4,2,2,2,2,1,1,3,1,3,3,1,1,3,3,3,1,3,3,3,3,3,3,3,3,1,4,4,1,4,4,18.52,30.0,,"
"11011003013,AP,1,2,2,4,1,3,2,2,1,3,2,2,1,No,1,1,2,2,2,2,2,2,O,4,4,3,2,4,2,2,2,2,1,1,3,1,3,3,1,1,3,3,3,1,3,3,3,3,2,3,3,3,1,4,1,1,4,4,20.37,10.0,,"
"11011003014,AP,1,2,3,4,1,2,2,1,1,3,3,2,2,No,1,1,2,0,2,4,4,2,O,3,3,4,3,0,0,0,0,2,1,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,3,2,4,4,4,4,4,,,18.18,25.0"
"11011003015,AP,1,1,2,4,1,3,2,1,1,1,1,0,1,No,1,1,0,1,1,2,5,2,L,3,3,3,3,2,3,3,3,1,1,1,3,3,3,3,2,2,3,2,1,1,3,3,3,3,1,3,3,1,1,4,3,3,4,4,,,31.48,26.0"
"11011003017,AP,1,1,2,3,1,3,2,2,1,3,3,2,1,No,1,1,1,0,2,4,2,2,L,4,4,2,4,2,2,2,2,1,1,1,3,1,3,2,1,1,3,3,2,1,3,2,3,2,1,3,2,1,1,4,3,3,4,4,,,25.45,20.83"
"11011003018,AP,1,1,6,0,1,2,2,2,1,3,2,2,1,No,1,1,1,0,2,2,2,2,O,4,4,3,2,4,2,2,2,2,1,3,3,1,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,1,3,4,3,2,4,4,,,,"
"11011003019,AP,1,1,4,3,1,2,2,1,1,3,2,2,1,No,1,1,1,0,2,2,2,2,O,4,4,3,3,2,2,2,2,2,1,1,1,1,3,2,1,2,2,2,1,1,3,2,3,1,2,2,1,1,1,4,1,1,4,4,20.37,,24.07,"
"11011003020,AP,1,1,6,2,1,4,2,0,0,0,3,2,1,No,1,1,2,0,2,3,2,2,O,2,4,2,2,2,2,2,2,2,1,1,3,1,3,3,1,1,3,3,1,1,3,3,3,3,1,3,3,1,1,4,4,4,4,4,22.22,16.67,,"
"11011003021,AP,1,1,4,1,1,3,1,1,1,3,3,2,1,No,1,1,1,0,2,3,2,2,O,2,4,2,2,2,2,2,2,1,1,1,1,1,3,2,1,1,3,1,1,1,1,1,3,1,1,3,1,1,1,4,1,3,4,4,,,20.0,29.17"
"11011003022,AP,1,1,4,4,1,2,2,2,1,1,1,2,2,No,1,2,1,0,2,3,2,2,O,2,4,2,2,2,2,2,2,2,1,1,1,1,3,2,2,3,2,1,1,3,3,3,3,1,3,3,1,3,3,4,1,1,4,4,,,20.37,10.0"
"11011003023,AP,1,1,4,4,1,4,2,1,0,1,1,0,2,No,1,2,2,2,1,2,5,2,L,3,3,3,3,4,4,3,4,2,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,35.19,53.33,,"
"11011003024,AP,1,1,4,4,1,2,2,0,1,1,1,0,2,No,1,1,0,1,4,4,5,2,S,4,4,4,4,4,4,4,4,2,1,3,3,3,3,3,2,3,2,3,2,1,3,3,3,3,1,3,0,3,0,4,4,1,4,4,29.63,13.33,,"
"11011003025,AP,1,1,5,4,2,3,2,2,3,5,6,2,2,No,1,1,1,0,2,4,4,2,L,4,4,2,2,2,4,2,1,2,1,3,3,1,3,3,3,1,3,2,3,3,3,3,3,3,1,2,2,3,1,4,3,3,4,4,,,25.93,38.0"
"11011003027,AP,1,1,3,0,1,5,2,2,1,3,2,2,1,No,1,1,2,2,2,4,3,2,O,4,4,3,2,4,2,2,2,2,1,3,3,1,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,1,3,4,3,2,4,4,24.07,73.33,,"
"11011003028,AP,1,1,3,1,1,2,2,1,0,3,2,2,1,No,1,1,2,2,2,3,2,2,O,2,4,2,2,2,2,2,2,1,1,1,3,1,2,2,3,1,3,2,2,3,3,3,3,3,1,2,2,3,1,4,3,4,4,4,,,36.36,25.0"
